Image_Number,0_Dirt,1_Bush,2_Fence,3_Gravel,4_Water,5_Tree-trunk,6_Tree-Foliage,7_Other-object,8_Other-terrain,9_Rock,10_Ignore,11_Structure,12_Mud,13_Log,14_Grass,15_Background,16_Sky
112,0.8148029349264264,,,,,0.5160919540229885,0.3848614875037639,0.039721509710516675,,,,,0.0,,0.6180675660094547,,0.0
113,0.8815950131739605,,,,,0.5238649592549476,0.8006485141918003,,,,,,0.032432432432432434,,0.5841038256001357,,0.0
114,0.619553196195532,,,0.7092675635276532,,0.5309290661571531,0.9060807844285087,,,0.3055555555555556,,,0.0,0.36395759717314485,0.8527993779160187,,0.9564042100419854
115,0.9582391865719819,,,,,0.6790998124609293,0.8772284016455889,0.7041269841269842,,,,,0.0,0.0,0.7268728004022121,,0.5317073170731708
116,0.8468033775633294,,,,,0.6794408455506308,0.8867900446713465,0.8308518005540166,,,,,,,0.7341692789968652,,0.5163841807909605
117,0.9391978637087249,,,,,0.6206039076376554,0.8937481993661769,,,,,,0.14473684210526316,0.0,0.7523101194500789,,0.5374189746611667
118,0.8876335502885915,,,,,0.48399098083427283,0.8674730708105245,,,,,,0.20382165605095542,,0.776165722709287,,0.07263922518159806
119,0.9050102734313261,,,,,0.27491166077738516,0.9329984574615354,,,0.08943089430894309,,,0.0,0.4111111111111111,0.8282776724515094,,0.9308176100628931
120,0.8984164163144763,,,0.0,,0.6416558861578266,0.8737431825770786,0.0,,,,,0.13348855258051998,,0.656568090104198,,
121,0.8812749525492506,,,,,0.7016285242843819,0.7915031852508121,,,,,,0.36619718309859156,,0.7786353647424559,,0.6188034188034188
122,0.78254051228437,,,,,0.5077730275942479,0.876547619047619,0.0,,,,,,,0.8027469316189363,,0.5929878048780488
123,0.8906776094276094,,,,,0.4229234675371781,0.8830591265887385,0.0,,,,,,,0.7580185533256533,,0.6205438066465256
124,0.7594377510040161,,,,,0.6945808328787052,0.8272500651114336,0.0,,,,,,,0.5207129094412332,,0.7057308435286542
125,0.6116700201207244,,,0.0,,0.17182737044761753,0.799230535587729,,,0.0,,,0.022058823529411766,0.11235955056179775,0.9622238348653444,,0.9609382479655337
126,0.9149217128843614,,,,,0.6204819277108434,0.8596613252721971,,0.0,,,,0.5110851808634772,,0.0,,0.4172794117647059
127,0.6882463859208046,,,,,0.5927659289964565,0.8499380478179065,0.0,,,,,0.0,,0.6580987352101183,,0.8036303630363036
128,0.9440513255967544,,,,,0.5805803571428572,0.9008679373723621,,,,,,0.5482128013300083,0.0,0.6824644549763034,,0.2
129,0.932791095890411,,,,,0.7354900748677794,0.8665185928208068,,,,,,,,0.8330994278311562,,0.6366294524189261
130,0.8294121186593658,,,,,0.47753503709810385,0.8862937922556853,,,,,,0.1763085399449036,0.46774193548387094,0.6415972087613878,,0.0892962743938498
131,0.8413080895008606,,,,,0.36089598474919576,0.8281034142490625,0.0,,,,,0.29469122426868904,,0.5056786703601108,,0.49832026875699886
132,0.5944206008583691,,,,,0.519700814745559,0.8799011560593755,,,,,,,,0.18896833503575078,,0.5114208935169634
133,0.8630867247432064,,,,,0.6604122947784224,0.8631952662721893,,,,,,0.5703824247355573,,0.7372068846020562,,0.4461538461538462
134,0.1396797153024911,,,,,0.5894457589445758,0.8134041476985331,0.0,,,,,,,0.8059088351153629,,0.44358251057827924
135,0.0,,,,,0.6776715899218071,0.7263794406651549,0.5231582657737046,,,,,0.0,,0.0,,0.3112970711297071
136,0.001160092807424594,,,,,0.4510086455331412,0.927572136403381,0.7308419368910862,,,,,,,0.8108747044917257,,
137,0.983238434163701,,,,,0.644347206675486,0.8046783625730994,,,,,,0.0,,0.4275960170697013,,0.5391959798994975
138,0.7983764394940532,,,,,0.5483648088438507,0.8213426403320906,,,,,,0.0,,0.8849389588209248,,0.46407021393307735
139,0.0,,,,,0.1811965811965812,0.9190913334370624,,,0.0,,,,0.38294010889292196,0.9628312070657508,,0.9668345528841585
140,0.7621293800539084,,,,,0.43879565646594276,0.8803035460424884,,,,,,,,0.6784200968523002,,0.772370802332596
141,0.7742054014330333,,0.9709824512919718,,,0.6803649687477549,0.7730461416856041,0.8787910207890508,,,,0.7559779276517474,0.664,,0.4280320906087777,,0.5151515151515151
142,0.87279843444227,,,,,0.7668452779638312,0.8141400792901643,,,,,,0.5283018867924528,,0.7301516503122212,,0.6118803418803419
143,0.7085610200364298,,,,,0.20831852115179525,0.9046845472930412,,,,,,0.0,0.056451612903225805,0.959913497547339,,0.9648595689092097
144,0.9682906688687035,,,,,0.35915077648908983,0.8940340406160694,,,,,,0.0,0.0,0.8957676913906157,,0.6213292117465224
145,0.72078501338091,,,,,0.5266469014390049,0.8565484485093521,,,,,,0.5265423242467718,,0.6263422818791946,,0.5505154639175258
146,0.9260584830947304,,,,,0.6506995494427318,0.9203990470518165,0.9106135703298581,,,,,,0.8844166440032635,0.5648578811369509,,0.6828046744574291
147,0.9503531221592896,,,,,0.6507945991157844,0.8096238938053097,0.8006314839873703,,,,,0.0,,0.5936439625920715,,0.5985
